ppm_0,ppm_1,ppm_2,ppm_3,ppm_4,ppm_5,ppm_6,ppm_7,ppm_8,ppm_9,ppm_10,ppm_11,ppm_12,ppm_13,ppm_14,ppm_15,ppm_16,ppm_17,ppm_18,ppm_19,ppm_20,ppm_21,ppm_22,ppm_23,ppm_24,ppm_25,ppm_26,ppm_27,ppm_28,ppm_29,seismic_flag,label
42.403047874211346,57.852302955647104,44.05866815376878,64.30508190339734,50.77604264530424,35.904832107282886,53.46809870132052,16.916772990398737,53.089069055227064,55.3846148990856,46.66066985896088,41.64434483749369,69.5887415857938,46.36113154050788,32.2964031150959,39.538628269402615,51.10649029948616,42.307785592830115,47.3518728870482,54.06639641098578,52.20472873297906,39.15476015666269,29.524316648739738,31.26719769955479,51.006299666888935,49.271887879585144,68.91740373632204,44.99964234550383,46.548208380952104,47.165806884113834,0,0
49.33009417779003,36.92113952344587,55.978631044562455,31.70416698251335,54.02754360757373,45.339423678349654,47.03134816642564,44.34153554193512,50.33695217845161,51.899386340277154,48.93259528242835,47.233921968780244,59.194693377270845,53.31665739146842,47.11902935678175,49.98459300497194,51.92531154960704,49.378216095617375,47.58457305576025,55.759634994672865,50.42336266910999,54.16179299405293,66.82074934763943,60.69419219258184,41.999484854696604,60.510853322118834,51.416124695289675,74.91152021939865,48.07249357542078,24.946090668407436,0,0
60.84718679627923,46.74808010904815,59.09872746740324,50.303051067471344,36.90084720032124,39.408217220503154,36.84623223769181,22.688267643025576,32.13761275959307,52.139548143387735,57.581457885226754,54.07261681555261,33.847035341893964,58.28036138933313,51.339903602291116,20.854403811367494,60.59097713307248,58.51714066857686,47.826673332626726,50.77655278979543,48.73765826415252,59.701525331188954,63.12409236443875,54.2884337638334,53.655934597492305,49.035794865735184,59.90945399714141,45.393701705940444,69.68111682769018,41.603977777793034,0,0
40.22578337780203,44.766002952853405,52.97639938936176,58.16471649370572,39.0503344936395,45.97620864583748,46.075920611082815,60.1828895351809,31.078271980394025,42.51189092230862,26.399415470262294,68.17482667829927,58.371479812029385,46.83403649409468,48.57810510996763,55.118756686967295,56.49516738990505,39.78099354598644,35.20364103830303,58.77496070865446,36.40746813744296,45.06508407211996,34.02533878542491,64.9767247687195,61.96984630666657,44.975913300745184,46.89362112820143,63.18786857214349,55.226708941768344,61.26171921727155,0,0
53.40600639372199,47.43213436645443,47.60012435064973,76.18711560759053,58.77197768746106,61.558417494030316,67.58847411880024,67.72307559584287,44.23590506056546,35.746605843114494,37.537303595810606,53.86476710538707,62.62585751994375,48.955624918714776,42.748390617018664,57.59654246766355,43.728908870959465,65.54983815533403,43.650559525579595,63.49123761482706,42.50749692524303,57.50596458499636,51.05278912991998,40.32479223049576,51.28428172083042,51.17039139651877,30.658001304199523,37.31690489483556,54.6200674513532,62.69929601086525,0,0
52.17980783355652,66.63972782958606,37.48836119489093,48.49322857729596,57.526073604597165,36.91947994716489,45.042343786977625,49.17075929449282,52.201675402082486,62.98596087765108,44.871156210738974,62.230163657729726,51.470774786051244,41.594640330274885,40.75506401386761,46.49220752869735,59.86850399709353,37.88182155224028,41.5013571049446,72.86925745066043,41.14658302886235,43.419029297388434,68.56020802934904,47.169485271426616,45.2581098367522,43.465200456572475,67.07574345093389,26.066139140718345,61.82404860562095,42.60996054893752,0,0
36.62143385000389,68.912939358789,15.8295274351539,51.61672210295756,48.866293136159086,45.12303565792695,47.209057760098375,34.098320112756376,41.209409224728134,49.708491250515024,48.89533382356092,52.57296935468141,51.714318122251925,37.985353004307164,64.7721115723508,42.087602996141946,51.02252164891833,61.7353838912903,35.98482854673537,59.02155619479023,45.009255649159016,46.40915274503177,42.25066786223859,35.079725592314354,43.72716550623688,45.303090087579626,41.24189738748202,58.58220447418574,48.288909639165446,66.45995661951684,0,0
73.75920985082078,55.10364190499354,48.417217180259435,41.736118865837696,71.75450966658234,55.207821876196775,72.75823255125817,66.06766512890079,37.44681453196007,49.83195211287205,44.57792734214829,53.69480321873875,49.908734723133236,75.37104737955754,51.65854194330134,41.163523222771914,57.96673462488884,50.58863301242986,43.81247731597844,46.14564242155896,44.478373089581325,47.84529084068977,50.57927032298079,38.611942280409615,35.2420304259944,53.81023532601875,46.54848131326938,29.909368011943705,46.859766406182544,49.86684496159643,0,0
62.917493968376306,50.396108830055205,49.420779060173636,50.98540136101583,54.94008648356631,51.039041714787466,57.95895296174424,56.26467392100819,56.080364224187974,48.776831517228516,47.70106521755139,60.55459254278766,25.718704783058005,52.61832596968983,53.1749716913017,48.12552380045448,43.57171476269993,47.4716105623073,51.169173767601805,37.895208671140104,44.78320181076194,34.12090701669117,33.402011589956835,36.03613636285641,55.82072890756638,57.50358931295766,33.85477864241659,48.904605584764205,42.470421670443415,41.35284058213905,0,0
36.63027739678272,48.09441706655319,51.106734935814,44.099111658840314,43.80391808767554,71.64956474350946,67.52506210214545,22.268006524193666,45.44416911676689,64.12460855955631,37.57273817521932,66.25331224663944,58.60500140597649,39.914224556151666,57.028979453847604,44.320822968859915,60.32018547370125,54.61492797747402,54.19469836264795,61.8091761693402,50.54009198196941,48.685809564815706,56.79295258210595,54.863752277383135,42.38433048742411,26.321406120186722,60.49217008372979,44.31554853624233,66.37434680757885,55.39216209631845,0,0
